"location.name","location.lat","location.lon","current.temperature","current.wind_speed","current.wind_degree","current.pressure","current.precip","current.humidity","current.cloudcover","current.feelslike","current.uv_index","current.visibility"
"Dispur",26.143,84.53253,31,6,300,1005.77819548872,0.4,71,75,42,6,5
"Patna",25.6,84.77248,27,6,250,1005.77819548872,0,84,75,29,8,4
"Raipur",21.233,81.633,27,2,62,1005.77819548872,0,84,26,25,6,10
"Panaji",15.483,73.833,26,9,280,1005.77819548872,0,79,75,32,7,3
"Gandhinagar",23.217,72.683,29,11,290,1015,0.5,78,50,26,5,6
"Chandigarh",30.737,76.787,28,0,328,1011,0,70,25,38,7,6
"Shimla",31.103,77.172,23,20,210,1010,0,84,50,30,6,3
"Ranchi",23.35,85.333,28,9,230,1008,0.1,84,50,35,6,3
"Bengaluru",12.983,77.583,24,1,243,1008,0,98,100,21,5,0
"Thiruvananthapuram",8.507,76.957,30,6,219,1008,0.6,96,74,25,5,10
"Bhopal",23.267,77.4,26,3,165,1008,3,99,100,21,5,7
"Mumbai",18.975,72.826,29,6,280,1006,0,75,25,37,7,6
"Imphal",24.817,93.95,21,15,280,1006,0,59,50,36,7,4
"Shillong",25.576,91.873,23,9,220,1009,0.1,71,25,38,6,5
"Kohima",25.667,94.117,21,7,110,1018,0,53,75,25,4,10
"Bhubaneshwar",20.233,85.833,31,0,303,1005,4.7,59,75,34,7,4
"Jaipur",26.917,75.817,31,11,268,1005,0,87,22,27,1,10
"Chennai",13.083,80.283,31,2,53,1003,42,100,100,25,5,5
"Gangtok",27.333,88.617,23,6,350,1002,8.6,84,75,36,5,3
"Jaipur",26.917,75.817,31,6,190,1001,0.1,94,100,27,7,3
"Amaravati",20.933,77.75,25,13,236,1004,0,83.3023255813954,53,28,1,10
"Itanagar",27.1,93.617,23,7,195,1008,1.3,83.3023255813954,39,29,1,10
"Dispur",26.143,91.789,28,17,260,1005,0,83.3023255813954,75,30,1,4
"Patna",25.6,85.117,25,6,123,999,0,83.3023255813954,40,27,1,10
"Raipur",21.233,81.633,25,5,58,1004,0,82,13,17,1,10
"Panaji",17.85557,73.833,26,7,240,1007,0.5,84,50,32,5,4
"Gandhinagar",21.10147,72.683,27,11,280,1014,1.9,94,75,21,1,6
"Chandigarh",22.97177,76.787,25,0,0,1010,0.3,89,25,33,1,4
"Shimla",25.73089,77.172,17,17,230,1008,1.6,89,50,27,1,3
"Ranchi",22.66633,85.333,27,6,200,1007,0.9,89,50,33,1,3
"Bengaluru",12.983,77.583,21,3,225,1005,1,99,100,20,5,10
"Thiruvananthapuram",8.507,76.957,28,5,209,1005,3.9,99,100,21,5,7
"Bhopal",23.267,77.4,24,5,170,1005,0,96,67,19,4,2
"Mumbai",18.975,72.826,28,6,240,1004,0,84,0,34,7,6
"Imphal",24.817,93.95,20,9,280,1004,0,66,50,32,1,3
"Shillong",25.576,91.873,21,15,240,1007,0,75,50,34,1,4
"Kohima",25.667,94.117,19,11,150,1016,11,69,75,21,4,8
"Bhubaneshwar",20.233,85.833,29,22,272,1005,0,73,51,28,7,10
"Jaipur",26.917,75.817,29,1,176,1006,6.9,99,100,21,5,7
"Chennai",13.083,80.283,29,0,0,1002,2.8,84,100,35,6,4
"Gangtok",27.333,88.617,21,0,0,1000,4.3,94,100,28,6,2
"Amaravati",20.933,77.75,26,9,221,1004,0.5,89,73,28,6,5
"Itanagar",27.1,93.617,21,7,227,1008,0.9,78,38,31,6,10
"Dispur",26.143,91.789,28,19,250,1003,0,70,75,35,6,5
"Patna",25.6,85.117,25,6,164,999,0,59,16,31,7,10
"Raipur",21.233,81.633,25,2,289,1002,0,63,24,25,6,10
"Panaji",15.483,73.833,28,11,340,1006,3.7,75,75,38,5,4
"Gandhinagar",23.217,72.683,30,9,250,1012,0.3,65,50,27,5,10
"Chandigarh",30.737,76.787,29,0,270,1008,0.1,79,50,31,7,5
"Shimla",31.103,77.172,23,11,240,1007,0,74,75,31,6,4
"Ranchi",23.35,85.333,29,22,240,1006,1,84,75,34,6,4
"Imphal",24.817,93.95,22,19,320,1003,0,55,50,35,7,4
"Shillong",25.576,91.873,19,11,330,1005,0.4,60,50,47,6,8
"Kohima",25.667,94.117,23,9,160,1017,0.8,83,100,19,3,4
"Bhubaneshwar",20.233,85.833,32,9,290,1010,0.5,89,75,29,6,6
"Jaipur",26.917,75.817,30,9,320,1000,0,89,100,37,7,4
"Chennai",13.083,80.283,34,7,300,1000,0,80,75,42,8,3
"Gangtok",27.333,88.617,19,10,279,1004,0,79,13,26,1,10
"Hyderabad",17.375,78.474,26,4,65,1006,25.3,100,100,25,5,5
"Lucknow",26.85,80.917,31,6,40,1005,15.9,89,100,33,5,3
"Kolkata",22.57,88.37,33,6,130,1003,1.4,89,75,29,6,3
"Amaravati",20.933,77.75,24,8,276,1003,0,79,40,28,1,10
"Itanagar",27.1,93.617,22,5,14,1005,0,85,44,29,1,10
"Dispur",26.143,91.789,27,13,230,1003,0,84,25,28,1,3
"Patna",25.6,85.117,26,9,118,1000,0,66,46,29,1,10
"Raipur",21.233,81.633,26,4,41,1004,0,71,34,20,1,10
"Panaji",15.483,73.833,26,4,320,1007,1,89,75,26,5,3
"Gandhinagar",23.217,72.683,26,13,260,1011,3.3,94,100,25,1,6
"Chandigarh",30.737,76.787,27,0,0,1008,0,94,75,29,1,4
"Shimla",31.103,77.172,20,9,180,1006,0,83,25,26,1,5
"Ranchi",23.35,85.333,24,9,170,1005,1,89,75,30,1,3
"Bengaluru",12.983,77.583,22,3,65,1007,1.9,99,100,20,5,10
"Thiruvananthapuram",8.507,76.957,26,4,172,1006,14.7,99,100,21,5,5
"Bhopal",23.267,77.4,24,5,139,1007,2.5,99,91,18,4,9
"Mumbai",18.975,72.826,27,0,0,1003,0.2,94,100,32,1,3
"Imphal",24.817,93.95,20,17,270,1003,0,70,50,29,1,3
"Shillong",25.576,91.873,21,6,260,1005,0.6,84,75,30,1,5
"Kohima",25.667,94.117,18,0,49,1020,0.9,94,100,17,4,5
"Bhubaneshwar",20.233,85.833,27,12,285,1005,0.8,87,76,25,1,10
"Jaipur",26.917,75.817,27,6,320,1002,0.3,89,100,32,1,3
"Chennai",13.083,80.283,27,9,30,1003,0,89,75,36,6,3
"Gangtok",27.333,88.617,17,16,278,1006,0,60,18,32,7,10
"Hyderabad",17.375,78.474,23,4,65,1009,1.4,98,100,25,5,9
"Lucknow",26.85,80.917,28,6,20,1005,0.5,84,75,36,5,4
"Kolkata",22.57,88.37,29,15,100,1003,0.1,84,75,30,6,3
"Amaravati",20.933,77.75,29,6,282,1005,0,64,29,32,7,10
"Itanagar",27.1,93.617,23,4,317,1008,0.1,76,84,32,6,10
"Dispur",26.143,91.789,28,15,220,1003,0,56,50,37,7,5
"Patna",25.6,85.117,27,10,152,1002,0,55,30,35,8,10
"Raipur",21.233,81.633,29,5,300,1005,0,64,31,25,6,10
"Panaji",15.483,73.833,28,9,10,1007,0.1,75,50,37,6,4
"Gandhinagar",23.217,72.683,32,13,280,1011,0.3,70,75,28,5,6
"Chandigarh",30.737,76.787,31,19,290,1008,0,75,50,36,6,6
"Shimla",31.103,77.172,22,11,250,1007,0,70,50,32,7,5
"Ranchi",23.35,85.333,30,17,240,1005,0.2,75,75,36,6,4
"Bengaluru",12.983,77.583,26,4,90,1009,0.3,93,57,82.9051669532169,5,10
"Thiruvananthapuram",8.507,76.957,30,4,136,1009,0.1,92,71,82.9051669532169,5,10
"Bhopal",23.267,77.4,28,2,125,1010,0,98,100,21,5,0
"Mumbai",18.975,72.826,30,4,70,1002,0.1,67,75,45,6,5
"Imphal",24.817,93.95,24,9,321,1002,0.1,76,83,29,1,10
"Shillong",25.576,91.873,20,1,126,1005,2.2,100,100,20,1,9
